"subject" "activity" "Average_tBodyAccMagMean" "Average_tBodyAccMagStd" "Average_tGravityAccMagMean" "Average_tGravityAccMagStd" "Average_tBodyAccJerkMagMean" "Average_tBodyAccJerkMagStd" "Average_tBodyGyroMagMean" "Average_tBodyGyroMagStd" "Average_tBodyGyroJerkMagMean" "Average_tBodyGyroJerkMagStd" "Average_fBodyAccMagMean" "Average_fBodyAccMagStd" "Average_fBodyBodyAccJerkMagMean" "Average_fBodyBodyAccJerkMagStd" "Average_fBodyGyroMagMean" "Average_fBodyBodyGyroMagStd" "Average_fBodyBodyGyroJerkMagMean" "Average_fBodyBodyGyroJerkMagStd"
"1" "LAYING" -0.950259310851216 -0.936715108902718 -0.950259310851216 -0.936715108902718 -0.979529332775393 -0.973616263261803 -0.942295152818312 -0.937500808266094 -0.982154530643777 -0.973906832188841 -0.951920795851216 -0.938901090429185 -0.974083525236051 -0.972041591959943 -0.951616706280401 -0.939553972752504 -0.975729968426323 -0.973281946895565
"1" "SITTING" -0.960966641904762 -0.946195518650794 -0.960966641904762 -0.946195518650794 -0.985529394634921 -0.983310028253968 -0.950688084190476 -0.956794858031746 -0.991198858015873 -0.988796343222222 -0.958657152731746 -0.94808547344127 -0.983292653142857 -0.982246717761905 -0.969046851587302 -0.956754933730159 -0.989446137492063 -0.988471666444444
"1" "STANDING" -0.965629093988183 -0.960240920871492 -0.965629093988183 -0.960240920871492 -0.983089446912851 -0.980155293781388 -0.953467119556869 -0.944439483633678 -0.985410199660266 -0.981930330635155 -0.967528626706056 -0.962115298936485 -0.979604941595273 -0.979809614357459 -0.960765061019202 -0.944357937754801 -0.982862580605613 -0.981758593914328
"1" "WALKING" -0.159781889284389 -0.32479709684493 -0.159781889284389 -0.32479709684493 -0.233354587857355 -0.215517972188424 -0.259706704330139 -0.375561616968161 -0.467011075591654 -0.529404483538485 -0.264824483908532 -0.467298189296754 -0.213448114890386 -0.22513475375459 -0.408680733720247 -0.463029499799227 -0.532915734440495 -0.559241988805255
"1" "WALKING_DOWNSTAIRS" 0.12552860835938 0.1208289703378 0.12552860835938 0.1208289703378 -0.09838500316406 -0.00619839702858 -0.11175273171948 -0.26572574302828 -0.428947793592 -0.4654137737948 0.1585781404718 -0.0782599655142 0.0154860813578 -0.04421395204352 -0.307686734604 -0.37043704597824 -0.45573465884792 -0.518430325843
"1" "WALKING_UPSTAIRS" -0.0951868545905536 -0.239150794265207 -0.0951868545905536 -0.239150794265207 -0.39976650446375 -0.40461011768 -0.158436256492857 -0.303985761113071 -0.622852890373393 -0.687411569196429 -0.261820312455 -0.3468687337625 -0.369599569565357 -0.458305284323571 -0.432185813746071 -0.3435632786075 -0.673529227142857 -0.730230915598214
"2" "LAYING" -0.92839995877204 -0.928008545570529 -0.92839995877204 -0.928008545570529 -0.982566586725441 -0.979898746146096 -0.938445369445844 -0.945765273287154 -0.985673264382872 -0.982042396599496 -0.947010493921914 -0.930003018910579 -0.979720439584383 -0.979135864924433 -0.960638180352645 -0.946224903463476 -0.982680494118388 -0.982263331032746
"2" "SITTING" -0.962482685445946 -0.95078773963 -0.962482685445946 -0.95078773963 -0.984762960986487 -0.981884052743243 -0.954665198486486 -0.958704488391892 -0.989586162135135 -0.986677652189189 -0.960419230081081 -0.953209515705405 -0.981350683162162 -0.981487184175676 -0.969416194743243 -0.959229953216216 -0.987142736540541 -0.986726794283784
"2" "STANDING" -0.957118452220812 -0.950755032423858 -0.957118452220812 -0.950755032423858 -0.977099086840101 -0.971413821548223 -0.944883327906091 -0.932475761624366 -0.977945227969543 -0.972795904733503 -0.958327178908629 -0.953887432271574 -0.971183913515228 -0.970743881662437 -0.949319841357868 -0.933890002779188 -0.97398418357868 -0.972989673845178
"2" "WALKING" -0.181767086608032 -0.355842322563794 -0.181767086608032 -0.355842322563794 -0.243732396667042 -0.21406913757492 -0.286191432366543 -0.37969493186672 -0.455508080001608 -0.47468928547627 -0.287328405256109 -0.499866532508039 -0.218904886320804 -0.215094040563762 -0.400644224324148 -0.475509711334084 -0.505053802613537 -0.474459225381672
"2" "WALKING_DOWNSTAIRS" 0.0899336402725379 0.106281467106023 0.0899336402725379 0.106281467106023 -0.126093296779356 -0.0281006711481818 -0.137839361860473 -0.250087416499583 -0.41394249633428 -0.428363481902083 0.119950908903561 -0.0763048307329545 -0.0210736591861553 -0.0473927435832386 -0.287504895216856 -0.359963824410473 -0.431767741513636 -0.466588379145076
"2" "WALKING_UPSTAIRS" -0.103082168861511 -0.252078798109842 -0.103082168861511 -0.252078798109842 -0.389005418301055 -0.360011373262566 -0.203813198913796 -0.377992050050439 -0.607754455096661 -0.654771437908612 -0.252769944520738 -0.369689789342707 -0.33131484694833 -0.404656612119859 -0.474624752418278 -0.425537826977153 -0.648757398629174 -0.68885493943761
"3" "LAYING" -0.971220926969697 -0.962070306439394 -0.971220926969697 -0.962070306439394 -0.97935107719697 -0.972685460530303 -0.957249689924242 -0.952678543560606 -0.985850709848485 -0.979447225984848 -0.964101230984848 -0.966070759318182 -0.972767605606061 -0.97147786280303 -0.963215612651515 -0.953958382651515 -0.980854129318182 -0.978810107651515
"3" "SITTING" -0.929159139824561 -0.909785783596491 -0.929159139824561 -0.909785783596491 -0.97926088245614 -0.977159456666667 -0.939201416140351 -0.944620186561404 -0.986558041842105 -0.984662746491228 -0.934499191140351 -0.912107843947368 -0.976732060438597 -0.976753226403509 -0.961464093070175 -0.943975831736842 -0.985431962982456 -0.984443404035088
"3" "STANDING" -0.927959340666667 -0.915844979666667 -0.927959340666667 -0.915844979666667 -0.965165170666667 -0.949749555333333 -0.902808280333333 -0.884643742333333 -0.967578507333333 -0.9568517535 -0.9294658705 -0.921785511833333 -0.950953123916667 -0.94743638875 -0.915534497833333 -0.886110702083333 -0.959796021083333 -0.95608264525
